x,y,color,pen down?,x,y,color,pen down?
449,3,15,true,449,2,105,true
450,3,15,true,450,2,105,true
451,3,15,true,451,2,105,true
452,3,15,true,452,2,105,true
453,3,15,true,453,2,105,true
454,3,15,true,454,2,105,true
455,3,15,true,455,2,105,true
456,3,15,true,456,2,105,true
457,3,15,true,457,2,105,true
458,3,15,true,458,2,105,true
459,3,15,true,459,2,105,true
460,3,15,true,460,2,105,true
461,3,15,true,461,2,105,true
462,3,15,true,462,2,105,true
463,3,15,true,463,2,105,true
464,3,15,true,464,2,105,true
465,3,15,true,465,2,105,true
466,3,15,true,466,2,105,true
467,3,15,true,467,2,105,true
468,3,15,true,468,2,105,true
469,3,15,true,469,2,105,true
470,3,15,true,470,2,105,true
471,3,15,true,471,2,105,true
472,3,15,true,472,2,105,true
473,3,15,true,473,2,105,true
474,3,15,true,474,2,105,true
475,3,15,true,475,2,105,true
476,3,15,true,476,2,105,true
477,3,15,true,477,2,105,true
478,3,15,true,478,2,105,true
479,3,15,true,479,2,105,true
480,3,15,true,480,2,105,true
481,3,15,true,481,2,105,true
482,3,15,true,482,2,105,true
483,3,15,true,483,2,105,true
484,3,15,true,484,2,105,true
485,3,15,true,485,2,105,true
486,3,15,true,486,2,105,true
487,3,15,true,487,2,105,true
488,3,15,true,488,2,105,true
489,3,15,true,489,2,105,true
490,3,15,true,490,2,105,true
491,3,15,true,491,2,105,true
492,3,15,true,492,2,105,true
493,3,15,true,493,2,105,true
494,3,15,true,494,2,105,true
495,3,15,true,495,2,105,true
496,3,15,true,496,2,105,true
497,3,15,true,497,2,105,true
498,3,15,true,498,2,105,true
499,3,15,true,499,2,105,true
500,3,15,true,500,2,105,true
501,3,15,true,501,2,105,true
502,3,15,true,502,2,105,true
503,3,15,true,503,2,105,true
504,3,15,true,504,2,105,true
505,3,15,true,505,2,105,true
506,3,15,true,506,2,105,true
507,3,15,true,507,2,105,true
508,3,15,true,508,2,105,true
509,3,15,true,509,2,105,true
510,3,15,true,510,2,105,true
511,3,15,true,511,2,105,true
512,3,15,true,512,2,105,true
513,3,15,true,513,2,105,true
514,3,15,true,514,2,105,true
515,3,15,true,515,2,105,true
516,3,15,true,516,2,105,true
517,3,15,true,517,2,105,true
518,3,15,true,518,2,105,true
519,3,15,true,519,2,105,true
520,3,15,true,520,2,105,true
521,3,15,true,521,2,105,true
522,3,15,true,522,2,105,true
523,3,15,true,523,2,105,true
524,3,15,true,524,2,105,true
525,3,15,true,525,2,105,true
526,3,15,true,526,2,105,true
527,3,15,true,527,2,105,true
528,3,15,true,528,2,105,true
529,3,15,true,529,2,105,true
530,3,15,true,530,2,105,true
531,3,15,true,531,2,105,true
532,3,15,true,532,2,105,true
533,3,15,true,533,2,105,true
534,3,15,true,534,2,105,true
535,3,15,true,535,2,105,true
536,3,15,true,536,2,105,true
537,3,15,true,537,2,105,true
538,3,15,true,538,2,105,true
539,3,15,true,539,2,105,true
540,3,15,true,540,2,105,true
541,3,15,true,541,2,105,true
542,3,15,true,542,2,105,true
543,3,15,true,543,2,105,true
544,3,15,true,544,2,105,true
545,3,15,true,545,2,105,true
546,3,15,true,546,2,105,true
547,3,15,true,547,2,105,true
548,3,15,true,548,2,105,true
549,3,15,true,549,2,105,true
